,P/B,D/E,Y/Y Revenue Growth,Gross Profit Margin,Trailing P/E,Forward P/E
REIT—Office,0.7806927316666669,125.83104166666665,-0.027409090909090907,0.5946758329166667,35.232287173071434,-29.328718170000002
REIT—Residential,1.9028261300000002,117.9781739130435,0.03204347826086957,0.5930349995833334,47.41848166666668,19.20052695
REIT—Retail,2.293402536081081,311.6974324324324,0.06945945945945944,0.7406308081081081,37.84693492825806,1.0608275071428575
REIT—Specialty,1.2074183282608695,305.0815263157894,0.08159090909090909,0.644185005,35.136788647619056,27.064640391176475
Real Estate Services,3.5350987234999987,343.7224358974359,547.8499361702127,0.3850006274374999,133.24100821363638,5.687627113793105
Real Estate—Development,2.22176605875,169.14537499999994,2.7184375000000007,0.26631812125,11.30280428888889,9.528890471428573
Real Estate—Diversified,3.3474577,69.9125,-0.10300000000000001,0.279395,35.648243,644.9091
Communication Equipment,6.932665216341466,127.76625000000001,1.0365,0.41692536707317085,116.09735973684211,188.51219995
Computer Hardware,9.890999016666667,65.37185714285714,0.5532903225806451,0.32064696527272724,28.646595156923077,-28.241795770833324
Consumer Electronics,4.062577723176471,524.2574666666667,0.7371249999999999,0.166462942,27.587154,-193.53681786749993
Electronic Components,5.619599989685908,44.17016279069767,0.1429767441860465,0.2671788659090908,47.41366198471924,42.27619966764705
Electronics & Computer Distribution,1.1623201799999998,55.32285714285714,0.07014285714285715,0.12286714228571428,15.148108000000002,9.769179666666668
Information Technology Services,3.2569567873222223,113.64863157894737,0.23216393442622948,0.29049790083709676,25.003962411764707,-1.0183065042553192
Scientific & Technical Instruments,23.357208645749992,68.7990909090909,0.3555454545454545,0.3556836166666667,59.42169505333182,17.905827896
Semiconductor Equipment & Materials,7.3465610792857134,29.731076923076923,0.12425925925925924,0.3813535707142857,60.843020733333326,40.91525053846154
Semiconductors,7.757511858906251,42.34624193548387,1.4512419354838713,0.43116687248437496,189.8658405371429,11.753957039344261
Software—Application,1.434778117767441,61.19377005347595,1.8039800000000006,0.6096434140284359,48.64453541132502,7.058302898816568
Software—Infrastructure,3.026097763352223,138.07528,0.5548013698630136,0.5292444760263156,47.698535165818676,20.649837732081195
Solar,2.258656152857143,139.59011764705886,1.1201999999999999,0.18314285761904764,12.411702617999998,12.582386664999996
Utilities—Diversified,1.8659975142857144,140.71114285714287,0.08600000000000001,0.34878856857142854,30.964946571428566,16.82724
Utilities—Independent Power Producers,11.6442732625,345.87057142857145,0.12442857142857143,0.21463624775,50.17402333333333,-8.635277857142857
Utilities—Regulated Electric,3.637689451046002,143.90222916666664,0.14389795918367349,0.4465153997999999,21.878418429545455,36.2988114005
Utilities—Regulated Gas,1.923966706666667,162.05285714285714,0.08126666666666665,0.3992800039999999,32.83755864285714,15.583322746666665
Utilities—Regulated Water,1.9419641272727275,83.933,0.06163636363636364,0.5447072790909091,20.54337227272727,26.715552454545456
Utilities—Renewable,0.8512091686391308,395.43761904761897,74638.15375000003,0.42312869239130435,33.258731075,12.558464306249999
